date,ticker,close,volume,source,retrieved_at,as_of_date
2023-04-17,AAPL,162.58033752441406,41516200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-18,AAPL,163.8004608154297,49923000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-19,AAPL,164.94183349609375,47720200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-20,AAPL,163.97756958007812,52456400.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-21,AAPL,162.37371826171875,58337300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-24,AAPL,162.67874145507812,41949600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-25,AAPL,161.14376831054688,48714100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-26,AAPL,161.13389587402344,45498800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-27,AAPL,165.7093505859375,64902300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-04-28,AAPL,166.95896911621094,55275900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-01,AAPL,166.8704376220703,52472900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-02,AAPL,165.83726501464844,48425700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-03,AAPL,164.7647247314453,65136000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-04,AAPL,163.13136291503906,81235400.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-05,AAPL,170.78659057617188,113453200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-08,AAPL,170.71774291992188,55962800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-09,AAPL,169.01544189453125,45326900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-10,AAPL,170.77674865722656,53724500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-11,AAPL,170.96368408203125,49514700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-12,AAPL,170.03750610351562,45533100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-15,AAPL,169.5448455810547,37266700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-16,AAPL,169.5448455810547,42110300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-17,AAPL,170.15573120117188,57951600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-18,AAPL,172.4811248779297,65496700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-19,AAPL,172.58950805664062,55809500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-22,AAPL,171.64358520507812,43570900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-23,AAPL,169.04232788085938,50747300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-24,AAPL,169.31820678710938,45143500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-25,AAPL,170.45132446289062,56058300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-26,AAPL,172.85552978515625,54835000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-30,AAPL,174.6980743408203,55964400.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-05-31,AAPL,174.64881896972656,99625300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-01,AAPL,177.44715881347656,68901800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-02,AAPL,178.29452514648438,61996900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-05,AAPL,176.9446258544922,121946500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-06,AAPL,176.58009338378906,64848400.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-07,AAPL,175.21047973632812,61944600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-08,AAPL,177.9200897216797,50214900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-09,AAPL,178.3043975830078,48900000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-12,AAPL,181.0928497314453,54274900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-13,AAPL,180.61990356445312,54929100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-14,AAPL,181.25050354003906,57462900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-15,AAPL,183.2802734375,65433200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-16,AAPL,182.2062530517578,101256200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-20,AAPL,182.2949676513672,49799100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-21,AAPL,181.2603759765625,49515700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-22,AAPL,184.2557373046875,51245300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-23,AAPL,183.94039916992188,53117000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-26,AAPL,182.5511016845703,48088700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-27,AAPL,185.30014038085938,50730800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-28,AAPL,186.4727020263672,51216800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-29,AAPL,186.80770874023438,46347300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-06-30,AAPL,191.12347412109375,85213200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-03,AAPL,189.6356201171875,31458200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-05,AAPL,188.522216796875,46920300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-06,AAPL,188.99514770507812,45094300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-07,AAPL,187.88172912597656,46815000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-10,AAPL,185.8421173095703,59922200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-11,AAPL,185.31991577148438,46638100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-12,AAPL,186.98512268066406,60750200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-13,AAPL,187.74378967285156,41342300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-14,AAPL,187.89158630371094,41616200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-17,AAPL,191.14317321777344,50520200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-18,AAPL,190.88697814941406,48288200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-19,AAPL,192.2368621826172,80507300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-20,AAPL,190.29579162597656,59581200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-21,AAPL,189.1232452392578,71951700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-24,AAPL,189.92135620117188,45377800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-25,AAPL,190.7786102294922,37283200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-26,AAPL,191.6457061767578,47471900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-27,AAPL,190.3844451904297,47460200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-28,AAPL,192.95614624023438,48291400.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-07-31,AAPL,193.5670623779297,38824100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-01,AAPL,192.73941040039062,35175100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-02,AAPL,189.75384521484375,50389300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-03,AAPL,188.36456298828125,61235200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-04,AAPL,179.31930541992188,115956800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-07,AAPL,176.22535705566406,97576100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-08,AAPL,177.161376953125,67823000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-09,AAPL,175.57504272460938,60378500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-10,AAPL,175.3582763671875,54686900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-11,AAPL,175.41744995117188,52036700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-14,AAPL,177.06517028808594,43675600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-15,AAPL,175.08200073242188,43622600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-16,AAPL,174.21372985839844,46964900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-17,AAPL,171.6780548095703,66062900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-18,AAPL,172.16151428222656,61172200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-21,AAPL,173.4934844970703,46311900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-22,AAPL,174.86492919921875,42038900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-23,AAPL,178.7030029296875,52722800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-24,AAPL,174.0262908935547,54945800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-25,AAPL,176.2265167236328,51449600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-28,AAPL,177.78543090820312,43820700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-29,AAPL,181.66299438476562,53003900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-30,AAPL,185.14588928222656,60813900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-08-31,AAPL,185.3629608154297,60794500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-01,AAPL,186.9317169189453,45766500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-05,AAPL,187.1685333251953,45280000.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-06,AAPL,180.46913146972656,81755800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-07,AAPL,175.1905517578125,112488800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-08,AAPL,175.80224609375,65551300.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-11,AAPL,176.96652221679688,58953100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-12,AAPL,173.94735717773438,90370200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-13,AAPL,171.88523864746094,84267900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-14,AAPL,173.3948516845703,60895800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-15,AAPL,172.67453002929688,109259500.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-18,AAPL,175.59506225585938,67257600.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-19,AAPL,176.68038940429688,51826900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-20,AAPL,173.14816284179688,58436200.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-21,AAPL,171.60897827148438,63149100.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-22,AAPL,172.45748901367188,56725400.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-25,AAPL,173.7302703857422,46172700.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-26,AAPL,169.665283203125,64588900.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
2023-09-27,AAPL,168.15565490722656,66921800.0,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20
