date,value,label,category,unit,key,as_of_date
2024-12-18,108.02999877929688,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-19,108.41000366210938,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-20,107.62000274658203,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-23,108.04000091552734,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-24,108.26000213623047,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-26,108.12999725341797,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-27,108.0,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-30,108.12999725341797,DXY Dollar Index,fx,index,dxy,2025-12-18
2024-12-31,108.48999786376953,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-02,109.38999938964844,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-03,108.94999694824219,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-06,108.26000213623047,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-07,108.54000091552734,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-08,109.08999633789062,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-09,109.18000030517578,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-10,109.6500015258789,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-13,109.95999908447266,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-14,109.2699966430664,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-15,109.08999633789062,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-16,108.95999908447266,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-17,109.3499984741211,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-21,108.05999755859375,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-22,108.16999816894531,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-23,108.05000305175781,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-24,107.44000244140625,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-27,107.33999633789062,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-28,107.87000274658203,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-29,108.0,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-30,107.80000305175781,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-01-31,108.37000274658203,DXY Dollar Index,fx,index,dxy,2025-12-18
2025-02-03,108.98999786376953,DXY Dollar Index,fx,index,dxy,2025-12-18
