date,value,label,category,unit,key,as_of_date
2023-05-22,1977.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-05-23,1974.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-05-24,1964.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-05-25,1943.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-05-26,1944.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-05-30,1958.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-05-31,1963.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-01,1995.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-02,1969.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-05,1974.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-06,1981.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-07,1958.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-08,1978.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-09,1977.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-12,1969.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-13,1958.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-14,1968.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-15,1970.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-16,1971.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-20,1947.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-21,1944.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-22,1923.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-23,1929.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-26,1933.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-27,1923.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-28,1922.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-29,1917.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-06-30,1929.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-03,1929.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-05,1927.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-06,1915.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-07,1932.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-10,1931.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-11,1937.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-12,1961.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-13,1963.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-14,1964.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-17,1956.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-18,1980.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-19,1980.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-20,1970.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-21,1966.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-24,1962.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-25,1963.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-26,1970.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-27,1945.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-28,1960.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-07-31,1970.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-01,1978.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-02,1975.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-03,1968.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-04,1976.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-07,1970.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-08,1959.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-09,1950.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-10,1948.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-11,1946.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-14,1944.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-15,1935.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-16,1928.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-17,1915.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-18,1916.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-21,1923.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-22,1926.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-23,1948.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-24,1947.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-25,1939.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-28,1946.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-29,1965.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-30,1973.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-08-31,1965.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-01,1967.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-05,1952.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-06,1944.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-07,1942.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-08,1942.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-11,1947.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-12,1935.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-13,1932.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-14,1932.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-15,1946.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-18,1953.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-19,1953.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-20,1967.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-21,1939.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-22,1945.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-25,1936.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-26,1919.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-27,1890.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-28,1878.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-09-29,1866.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-02,1847.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-03,1841.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-04,1834.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-05,1831.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-06,1845.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-09,1864.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-10,1875.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-11,1887.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-12,1883.0,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-13,1941.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-16,1934.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-17,1935.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-18,1968.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-19,1980.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-20,1994.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-23,1987.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-24,1986.0999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-25,1994.9000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-26,1997.4000244140625,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-27,1998.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-30,2005.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-10-31,1994.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-01,1987.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-02,1993.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-03,1999.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-06,1988.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-07,1973.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-08,1957.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-09,1969.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-10,1937.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-13,1950.199951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-14,1966.5,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-15,1964.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-16,1987.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-17,1984.699951171875,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-20,1980.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-21,2001.5999755859375,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-22,1992.800048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
2023-11-23,1993.300048828125,Gold ($/oz),commodities,usd,gold,2024-05-20
