date,value,label,category,unit,key,as_of_date
2023-05-22,13849.740234375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-05-23,13672.5400390625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-05-24,13604.48046875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-05-25,13938.5302734375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-05-26,14298.41015625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-05-30,14354.990234375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-05-31,14254.08984375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-01,14441.509765625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-02,14546.6396484375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-05,14556.5,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-06,14558.08984375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-07,14303.2900390625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-08,14484.5400390625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-09,14528.3603515625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-12,14784.2998046875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-13,14900.849609375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-14,15005.6904296875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-15,15185.48046875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-16,15083.919921875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-20,15070.150390625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-21,14867.4501953125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-22,15042.3203125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-23,14891.48046875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-26,14689.01953125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-27,14945.91015625,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-28,14964.5703125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-29,14939.9501953125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-06-30,15179.2099609375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-03,15208.6904296875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-05,15203.7802734375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-06,15089.4501953125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-07,15036.849609375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-10,15045.6396484375,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-11,15119.0595703125,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-12,15307.23046875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-13,15571.98046875,Nasdaq 100,equity,index,ndx,2024-05-20
2023-07-14,15565.599609375,Nasdaq 100,equity,index,ndx,2024-05-20
