date,value,label,category,unit,key,as_of_date
2023-05-22,4192.6298828125,S&P 500,equity,index,spx,2024-05-20
2023-05-23,4145.580078125,S&P 500,equity,index,spx,2024-05-20
2023-05-24,4115.240234375,S&P 500,equity,index,spx,2024-05-20
2023-05-25,4151.27978515625,S&P 500,equity,index,spx,2024-05-20
2023-05-26,4205.4501953125,S&P 500,equity,index,spx,2024-05-20
2023-05-30,4205.52001953125,S&P 500,equity,index,spx,2024-05-20
2023-05-31,4179.830078125,S&P 500,equity,index,spx,2024-05-20
2023-06-01,4221.02001953125,S&P 500,equity,index,spx,2024-05-20
2023-06-02,4282.3701171875,S&P 500,equity,index,spx,2024-05-20
2023-06-05,4273.7900390625,S&P 500,equity,index,spx,2024-05-20
2023-06-06,4283.85009765625,S&P 500,equity,index,spx,2024-05-20
2023-06-07,4267.52001953125,S&P 500,equity,index,spx,2024-05-20
2023-06-08,4293.93017578125,S&P 500,equity,index,spx,2024-05-20
2023-06-09,4298.85986328125,S&P 500,equity,index,spx,2024-05-20
2023-06-12,4338.93017578125,S&P 500,equity,index,spx,2024-05-20
2023-06-13,4369.009765625,S&P 500,equity,index,spx,2024-05-20
2023-06-14,4372.58984375,S&P 500,equity,index,spx,2024-05-20
2023-06-15,4425.83984375,S&P 500,equity,index,spx,2024-05-20
2023-06-16,4409.58984375,S&P 500,equity,index,spx,2024-05-20
2023-06-20,4388.7099609375,S&P 500,equity,index,spx,2024-05-20
2023-06-21,4365.68994140625,S&P 500,equity,index,spx,2024-05-20
2023-06-22,4381.89013671875,S&P 500,equity,index,spx,2024-05-20
2023-06-23,4348.330078125,S&P 500,equity,index,spx,2024-05-20
2023-06-26,4328.81982421875,S&P 500,equity,index,spx,2024-05-20
2023-06-27,4378.41015625,S&P 500,equity,index,spx,2024-05-20
2023-06-28,4376.85986328125,S&P 500,equity,index,spx,2024-05-20
2023-06-29,4396.43994140625,S&P 500,equity,index,spx,2024-05-20
2023-06-30,4450.3798828125,S&P 500,equity,index,spx,2024-05-20
2023-07-03,4455.58984375,S&P 500,equity,index,spx,2024-05-20
2023-07-05,4446.81982421875,S&P 500,equity,index,spx,2024-05-20
2023-07-06,4411.58984375,S&P 500,equity,index,spx,2024-05-20
2023-07-07,4398.9501953125,S&P 500,equity,index,spx,2024-05-20
2023-07-10,4409.52978515625,S&P 500,equity,index,spx,2024-05-20
2023-07-11,4439.259765625,S&P 500,equity,index,spx,2024-05-20
2023-07-12,4472.16015625,S&P 500,equity,index,spx,2024-05-20
2023-07-13,4510.0400390625,S&P 500,equity,index,spx,2024-05-20
2023-07-14,4505.419921875,S&P 500,equity,index,spx,2024-05-20
2023-07-17,4522.7900390625,S&P 500,equity,index,spx,2024-05-20
2023-07-18,4554.97998046875,S&P 500,equity,index,spx,2024-05-20
2023-07-19,4565.72021484375,S&P 500,equity,index,spx,2024-05-20
2023-07-20,4534.8701171875,S&P 500,equity,index,spx,2024-05-20
2023-07-21,4536.33984375,S&P 500,equity,index,spx,2024-05-20
2023-07-24,4554.64013671875,S&P 500,equity,index,spx,2024-05-20
2023-07-25,4567.4599609375,S&P 500,equity,index,spx,2024-05-20
2023-07-26,4566.75,S&P 500,equity,index,spx,2024-05-20
2023-07-27,4537.41015625,S&P 500,equity,index,spx,2024-05-20
2023-07-28,4582.22998046875,S&P 500,equity,index,spx,2024-05-20
2023-07-31,4588.9599609375,S&P 500,equity,index,spx,2024-05-20
2023-08-01,4576.72998046875,S&P 500,equity,index,spx,2024-05-20
2023-08-02,4513.39013671875,S&P 500,equity,index,spx,2024-05-20
2023-08-03,4501.89013671875,S&P 500,equity,index,spx,2024-05-20
2023-08-04,4478.02978515625,S&P 500,equity,index,spx,2024-05-20
2023-08-07,4518.43994140625,S&P 500,equity,index,spx,2024-05-20
2023-08-08,4499.3798828125,S&P 500,equity,index,spx,2024-05-20
2023-08-09,4467.7099609375,S&P 500,equity,index,spx,2024-05-20
2023-08-10,4468.830078125,S&P 500,equity,index,spx,2024-05-20
2023-08-11,4464.0498046875,S&P 500,equity,index,spx,2024-05-20
2023-08-14,4489.72021484375,S&P 500,equity,index,spx,2024-05-20
2023-08-15,4437.85986328125,S&P 500,equity,index,spx,2024-05-20
2023-08-16,4404.330078125,S&P 500,equity,index,spx,2024-05-20
2023-08-17,4370.35986328125,S&P 500,equity,index,spx,2024-05-20
2023-08-18,4369.7099609375,S&P 500,equity,index,spx,2024-05-20
2023-08-21,4399.77001953125,S&P 500,equity,index,spx,2024-05-20
2023-08-22,4387.5498046875,S&P 500,equity,index,spx,2024-05-20
2023-08-23,4436.009765625,S&P 500,equity,index,spx,2024-05-20
2023-08-24,4376.31005859375,S&P 500,equity,index,spx,2024-05-20
2023-08-25,4405.7099609375,S&P 500,equity,index,spx,2024-05-20
2023-08-28,4433.31005859375,S&P 500,equity,index,spx,2024-05-20
2023-08-29,4497.6298828125,S&P 500,equity,index,spx,2024-05-20
2023-08-30,4514.8701171875,S&P 500,equity,index,spx,2024-05-20
2023-08-31,4507.66015625,S&P 500,equity,index,spx,2024-05-20
2023-09-01,4515.77001953125,S&P 500,equity,index,spx,2024-05-20
2023-09-05,4496.830078125,S&P 500,equity,index,spx,2024-05-20
2023-09-06,4465.47998046875,S&P 500,equity,index,spx,2024-05-20
2023-09-07,4451.14013671875,S&P 500,equity,index,spx,2024-05-20
2023-09-08,4457.490234375,S&P 500,equity,index,spx,2024-05-20
2023-09-11,4487.4599609375,S&P 500,equity,index,spx,2024-05-20
2023-09-12,4461.89990234375,S&P 500,equity,index,spx,2024-05-20
2023-09-13,4467.43994140625,S&P 500,equity,index,spx,2024-05-20
2023-09-14,4505.10009765625,S&P 500,equity,index,spx,2024-05-20
2023-09-15,4450.31982421875,S&P 500,equity,index,spx,2024-05-20
2023-09-18,4453.52978515625,S&P 500,equity,index,spx,2024-05-20
2023-09-19,4443.9501953125,S&P 500,equity,index,spx,2024-05-20
2023-09-20,4402.2001953125,S&P 500,equity,index,spx,2024-05-20
2023-09-21,4330.0,S&P 500,equity,index,spx,2024-05-20
2023-09-22,4320.06005859375,S&P 500,equity,index,spx,2024-05-20
2023-09-25,4337.43994140625,S&P 500,equity,index,spx,2024-05-20
2023-09-26,4273.52978515625,S&P 500,equity,index,spx,2024-05-20
2023-09-27,4274.509765625,S&P 500,equity,index,spx,2024-05-20
2023-09-28,4299.7001953125,S&P 500,equity,index,spx,2024-05-20
2023-09-29,4288.0498046875,S&P 500,equity,index,spx,2024-05-20
2023-10-02,4288.39013671875,S&P 500,equity,index,spx,2024-05-20
2023-10-03,4229.4501953125,S&P 500,equity,index,spx,2024-05-20
2023-10-04,4263.75,S&P 500,equity,index,spx,2024-05-20
2023-10-05,4258.18994140625,S&P 500,equity,index,spx,2024-05-20
2023-10-06,4308.5,S&P 500,equity,index,spx,2024-05-20
2023-10-09,4335.66015625,S&P 500,equity,index,spx,2024-05-20
2023-10-10,4358.240234375,S&P 500,equity,index,spx,2024-05-20
2023-10-11,4376.9501953125,S&P 500,equity,index,spx,2024-05-20
2023-10-12,4349.60986328125,S&P 500,equity,index,spx,2024-05-20
2023-10-13,4327.77978515625,S&P 500,equity,index,spx,2024-05-20
2023-10-16,4373.6298828125,S&P 500,equity,index,spx,2024-05-20
2023-10-17,4373.2001953125,S&P 500,equity,index,spx,2024-05-20
2023-10-18,4314.60009765625,S&P 500,equity,index,spx,2024-05-20
2023-10-19,4278.0,S&P 500,equity,index,spx,2024-05-20
2023-10-20,4224.16015625,S&P 500,equity,index,spx,2024-05-20
2023-10-23,4217.0400390625,S&P 500,equity,index,spx,2024-05-20
2023-10-24,4247.68017578125,S&P 500,equity,index,spx,2024-05-20
2023-10-25,4186.77001953125,S&P 500,equity,index,spx,2024-05-20
2023-10-26,4137.22998046875,S&P 500,equity,index,spx,2024-05-20
2023-10-27,4117.3701171875,S&P 500,equity,index,spx,2024-05-20
2023-10-30,4166.81982421875,S&P 500,equity,index,spx,2024-05-20
2023-10-31,4193.7998046875,S&P 500,equity,index,spx,2024-05-20
2023-11-01,4237.85986328125,S&P 500,equity,index,spx,2024-05-20
2023-11-02,4317.77978515625,S&P 500,equity,index,spx,2024-05-20
2023-11-03,4358.33984375,S&P 500,equity,index,spx,2024-05-20
2023-11-06,4365.97998046875,S&P 500,equity,index,spx,2024-05-20
2023-11-07,4378.3798828125,S&P 500,equity,index,spx,2024-05-20
2023-11-08,4382.77978515625,S&P 500,equity,index,spx,2024-05-20
2023-11-09,4347.35009765625,S&P 500,equity,index,spx,2024-05-20
2023-11-10,4415.240234375,S&P 500,equity,index,spx,2024-05-20
2023-11-13,4411.5498046875,S&P 500,equity,index,spx,2024-05-20
2023-11-14,4495.7001953125,S&P 500,equity,index,spx,2024-05-20
2023-11-15,4502.8798828125,S&P 500,equity,index,spx,2024-05-20
2023-11-16,4508.240234375,S&P 500,equity,index,spx,2024-05-20
2023-11-17,4514.02001953125,S&P 500,equity,index,spx,2024-05-20
2023-11-20,4547.3798828125,S&P 500,equity,index,spx,2024-05-20
2023-11-21,4538.18994140625,S&P 500,equity,index,spx,2024-05-20
2023-11-22,4556.6201171875,S&P 500,equity,index,spx,2024-05-20
2023-11-24,4559.33984375,S&P 500,equity,index,spx,2024-05-20
2023-11-27,4550.43017578125,S&P 500,equity,index,spx,2024-05-20
2023-11-28,4554.89013671875,S&P 500,equity,index,spx,2024-05-20
2023-11-29,4550.580078125,S&P 500,equity,index,spx,2024-05-20
2023-11-30,4567.7998046875,S&P 500,equity,index,spx,2024-05-20
2023-12-01,4594.6298828125,S&P 500,equity,index,spx,2024-05-20
2023-12-04,4569.77978515625,S&P 500,equity,index,spx,2024-05-20
2023-12-05,4567.18017578125,S&P 500,equity,index,spx,2024-05-20
2023-12-06,4549.33984375,S&P 500,equity,index,spx,2024-05-20
2023-12-07,4585.58984375,S&P 500,equity,index,spx,2024-05-20
2023-12-08,4604.3701171875,S&P 500,equity,index,spx,2024-05-20
2023-12-11,4622.43994140625,S&P 500,equity,index,spx,2024-05-20
2023-12-12,4643.7001953125,S&P 500,equity,index,spx,2024-05-20
2023-12-13,4707.08984375,S&P 500,equity,index,spx,2024-05-20
2023-12-14,4719.5498046875,S&P 500,equity,index,spx,2024-05-20
