date,value,label,category,unit,key,as_of_date
2024-12-18,4.49399995803833,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-19,4.570000171661377,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-20,4.52400016784668,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-23,4.598999977111816,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-24,4.591000080108643,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-26,4.578999996185303,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-27,4.61899995803833,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-30,4.545000076293945,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2024-12-31,4.572999954223633,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-02,4.574999809265137,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-03,4.5960001945495605,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-06,4.618000030517578,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-07,4.683000087738037,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-08,4.692999839782715,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-10,4.776000022888184,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-13,4.802999973297119,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-14,4.788000106811523,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-15,4.6529998779296875,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-16,4.605999946594238,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-17,4.609000205993652,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-21,4.573999881744385,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-22,4.598999977111816,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-23,4.638000011444092,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-24,4.625999927520752,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-27,4.5279998779296875,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-28,4.551000118255615,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-29,4.554999828338623,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-30,4.51200008392334,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-01-31,4.568999767303467,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-03,4.543000221252441,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-04,4.513000011444092,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-05,4.421999931335449,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-06,4.440000057220459,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-07,4.486999988555908,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-10,4.493000030517578,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-11,4.5370001792907715,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-12,4.63700008392334,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-13,4.525000095367432,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-14,4.4720001220703125,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-18,4.544000148773193,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
2025-02-19,4.534999847412109,UST 10Y Yield,rates,pct,ust_10y,2025-12-18
