date,value,label,category,unit,key,as_of_date
2023-05-22,17.209999084472656,VIX,vol,index,vix,2024-05-20
2023-05-23,18.530000686645508,VIX,vol,index,vix,2024-05-20
2023-05-24,20.030000686645508,VIX,vol,index,vix,2024-05-20
2023-05-25,19.139999389648438,VIX,vol,index,vix,2024-05-20
2023-05-26,17.950000762939453,VIX,vol,index,vix,2024-05-20
2023-05-30,17.459999084472656,VIX,vol,index,vix,2024-05-20
2023-05-31,17.940000534057617,VIX,vol,index,vix,2024-05-20
2023-06-01,15.649999618530273,VIX,vol,index,vix,2024-05-20
2023-06-02,14.600000381469727,VIX,vol,index,vix,2024-05-20
2023-06-05,14.729999542236328,VIX,vol,index,vix,2024-05-20
2023-06-06,13.960000038146973,VIX,vol,index,vix,2024-05-20
2023-06-07,13.9399995803833,VIX,vol,index,vix,2024-05-20
2023-06-08,13.649999618530273,VIX,vol,index,vix,2024-05-20
2023-06-09,13.829999923706055,VIX,vol,index,vix,2024-05-20
2023-06-12,15.010000228881836,VIX,vol,index,vix,2024-05-20
2023-06-13,14.609999656677246,VIX,vol,index,vix,2024-05-20
2023-06-14,13.880000114440918,VIX,vol,index,vix,2024-05-20
2023-06-15,14.5,VIX,vol,index,vix,2024-05-20
2023-06-16,13.539999961853027,VIX,vol,index,vix,2024-05-20
2023-06-20,13.880000114440918,VIX,vol,index,vix,2024-05-20
2023-06-21,13.199999809265137,VIX,vol,index,vix,2024-05-20
2023-06-22,12.90999984741211,VIX,vol,index,vix,2024-05-20
2023-06-23,13.4399995803833,VIX,vol,index,vix,2024-05-20
2023-06-26,14.25,VIX,vol,index,vix,2024-05-20
2023-06-27,13.739999771118164,VIX,vol,index,vix,2024-05-20
2023-06-28,13.430000305175781,VIX,vol,index,vix,2024-05-20
2023-06-29,13.539999961853027,VIX,vol,index,vix,2024-05-20
2023-06-30,13.59000015258789,VIX,vol,index,vix,2024-05-20
2023-07-03,13.569999694824219,VIX,vol,index,vix,2024-05-20
2023-07-05,14.180000305175781,VIX,vol,index,vix,2024-05-20
2023-07-06,15.4399995803833,VIX,vol,index,vix,2024-05-20
2023-07-07,14.829999923706055,VIX,vol,index,vix,2024-05-20
2023-07-10,15.069999694824219,VIX,vol,index,vix,2024-05-20
2023-07-11,14.84000015258789,VIX,vol,index,vix,2024-05-20
2023-07-12,13.539999961853027,VIX,vol,index,vix,2024-05-20
2023-07-13,13.609999656677246,VIX,vol,index,vix,2024-05-20
2023-07-14,13.34000015258789,VIX,vol,index,vix,2024-05-20
2023-07-17,13.479999542236328,VIX,vol,index,vix,2024-05-20
2023-07-18,13.300000190734863,VIX,vol,index,vix,2024-05-20
2023-07-19,13.760000228881836,VIX,vol,index,vix,2024-05-20
2023-07-20,13.989999771118164,VIX,vol,index,vix,2024-05-20
2023-07-21,13.600000381469727,VIX,vol,index,vix,2024-05-20
2023-07-24,13.90999984741211,VIX,vol,index,vix,2024-05-20
2023-07-25,13.859999656677246,VIX,vol,index,vix,2024-05-20
2023-07-26,13.1899995803833,VIX,vol,index,vix,2024-05-20
2023-07-27,14.40999984741211,VIX,vol,index,vix,2024-05-20
2023-07-28,13.329999923706055,VIX,vol,index,vix,2024-05-20
2023-07-31,13.630000114440918,VIX,vol,index,vix,2024-05-20
2023-08-01,13.930000305175781,VIX,vol,index,vix,2024-05-20
2023-08-02,16.09000015258789,VIX,vol,index,vix,2024-05-20
2023-08-03,15.920000076293945,VIX,vol,index,vix,2024-05-20
2023-08-04,17.100000381469727,VIX,vol,index,vix,2024-05-20
2023-08-07,15.770000457763672,VIX,vol,index,vix,2024-05-20
2023-08-08,15.989999771118164,VIX,vol,index,vix,2024-05-20
2023-08-09,15.960000038146973,VIX,vol,index,vix,2024-05-20
2023-08-10,15.850000381469727,VIX,vol,index,vix,2024-05-20
2023-08-11,14.84000015258789,VIX,vol,index,vix,2024-05-20
2023-08-14,14.819999694824219,VIX,vol,index,vix,2024-05-20
2023-08-15,16.459999084472656,VIX,vol,index,vix,2024-05-20
2023-08-16,16.780000686645508,VIX,vol,index,vix,2024-05-20
2023-08-17,17.889999389648438,VIX,vol,index,vix,2024-05-20
2023-08-18,17.299999237060547,VIX,vol,index,vix,2024-05-20
2023-08-21,17.1299991607666,VIX,vol,index,vix,2024-05-20
2023-08-22,16.969999313354492,VIX,vol,index,vix,2024-05-20
2023-08-23,15.979999542236328,VIX,vol,index,vix,2024-05-20
2023-08-24,17.200000762939453,VIX,vol,index,vix,2024-05-20
2023-08-25,15.680000305175781,VIX,vol,index,vix,2024-05-20
2023-08-28,15.079999923706055,VIX,vol,index,vix,2024-05-20
2023-08-29,14.449999809265137,VIX,vol,index,vix,2024-05-20
2023-08-30,13.880000114440918,VIX,vol,index,vix,2024-05-20
