date,value,label,display_name,category,source,retrieved_at,as_of_date
2023-05-16,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-17,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-18,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-19,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-20,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-21,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-22,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-23,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-24,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-25,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-26,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-27,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-28,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-29,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-30,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-05-31,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-01,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-02,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-03,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-04,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-05,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-06,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-07,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-08,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-09,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-10,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-11,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-12,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-13,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-14,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-15,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-16,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-17,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-18,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-19,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-20,3.25,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-21,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-22,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-23,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-24,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-25,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-26,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-27,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-28,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-29,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-06-30,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-01,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-02,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-03,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-04,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-05,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-06,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-07,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-08,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-09,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-10,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-11,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-12,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-13,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-14,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-15,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-16,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-17,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-18,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-19,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-20,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-21,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-22,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-23,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-24,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-25,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-26,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-27,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-28,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-29,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-30,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-07-31,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-01,3.5,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-02,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-03,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-04,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-05,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-06,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-07,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-08,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-09,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-10,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-11,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-12,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-13,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-14,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-15,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-16,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-17,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-18,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-19,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-20,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-21,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-22,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-23,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-24,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-25,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-26,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-27,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-28,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-29,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-30,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-08-31,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-01,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-02,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-03,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-04,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-05,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-06,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-07,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-08,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-09,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-10,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-11,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-12,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-13,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-14,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-15,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-16,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-17,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-18,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-19,3.75,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-20,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-21,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-22,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-23,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-24,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-25,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-26,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-27,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-28,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-29,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-09-30,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-01,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-02,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-03,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-04,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-05,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-06,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-07,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-08,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-09,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-10,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-11,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-12,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-13,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-14,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-15,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-16,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-17,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-18,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-19,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-20,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-21,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-22,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-23,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-24,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-25,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-26,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-27,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-28,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-29,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-30,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-10-31,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-01,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-02,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-03,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-04,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-05,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-06,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-07,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-08,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-09,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-10,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-11,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-12,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-13,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-14,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-15,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-16,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-17,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-18,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-19,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-20,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-21,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
2023-11-22,4.0,ECB_DFR,ECB Deposit Facility Rate,rates,ECB,2026-09-21T08:32:30+00:00,2024-05-20
