ticker,vol_21d,vol_63d,beta,sharpe,sortino,max_drawdown,var_95_1d,cvar_95_1d,ret_ytd,ret_1y
GE,0.3645,0.3357,,2.452,4.963,-0.0939,0.0214,0.0242,0.5874,0.9163
NVDA,0.4425,0.5621,,2.342,4.38,-0.1979,0.0372,0.05,0.9678,2.0411
META,0.4647,0.3589,,1.783,2.991,-0.1843,0.027,0.0421,0.3553,0.8901
AMZN,0.2601,0.2273,,1.656,2.713,-0.1745,0.0256,0.0355,0.2242,0.5959
XLK,0.1738,0.1922,,1.603,2.672,-0.1094,0.0176,0.0214,0.1452,0.3693
JPM,0.2138,0.2176,,1.602,1.95,-0.1349,0.0124,0.0246,0.1502,0.4545
XLC,0.201,0.1611,,1.56,2.406,-0.0809,0.0142,0.0216,0.1498,0.3494
CAT,0.3659,0.2581,,1.503,2.197,-0.2128,0.0213,0.0363,0.2496,0.7244
JEF,0.218,0.2246,,1.477,2.458,-0.1808,0.021,0.0274,0.1807,0.5794
GOOGL,0.3936,0.3132,,1.477,1.929,-0.144,0.0239,0.04,0.2805,0.4148
MSFT,0.2223,0.2038,,1.422,2.247,-0.1299,0.0222,0.0286,0.1511,0.3347
XLF,0.1043,0.1088,,1.37,2.17,-0.1126,0.0132,0.0156,0.1141,0.306
XLI,0.1087,0.1056,,1.284,2.158,-0.1257,0.0118,0.0152,0.1163,0.2798
GS,0.1743,0.1991,,1.207,2.213,-0.1856,0.0191,0.0246,0.2007,0.4698
PJT,0.2557,0.2317,,1.015,1.54,-0.179,0.0226,0.0286,0.0315,0.5725
^IBEX,0.1521,0.1303,,0.973,1.554,-0.0801,0.0122,0.0156,0.1137,0.2186
^GDAXI,0.122,0.1061,,0.935,1.377,-0.1082,0.011,0.0146,0.1192,0.1569
BAC,0.155,0.1981,,0.845,1.488,-0.2227,0.0217,0.0282,0.1532,0.4132
XLY,0.1595,0.1495,,0.689,1.099,-0.162,0.0184,0.0229,0.0034,0.1831
^STOXX50E,0.1187,0.1047,,0.684,0.972,-0.1022,0.0118,0.0172,0.1385,0.1522
LAZ,0.2316,0.2521,,0.627,1.043,-0.2508,0.0291,0.0346,0.1641,0.4929
BLK,0.1455,0.1921,,0.506,0.835,-0.2038,0.0205,0.026,0.0124,0.2326
PG,0.0871,0.103,,0.495,0.722,-0.0899,0.0123,0.0199,0.1393,0.1504
HD,0.2062,0.2067,,0.476,0.77,-0.17,0.0176,0.025,-0.0152,0.1931
AAPL,0.2466,0.2436,,0.426,0.647,-0.1661,0.0195,0.0296,0.0318,0.1025
MS,0.1568,0.2377,,0.403,0.579,-0.2495,0.0224,0.0349,0.0889,0.2697
XLV,0.0841,0.1018,,0.355,0.557,-0.0924,0.0101,0.0135,0.0558,0.129
XLE,0.1571,0.1375,,0.32,0.485,-0.1295,0.0184,0.0235,0.1223,0.2303
^FCHI,0.0959,0.0883,,0.236,0.346,-0.1032,0.0125,0.0156,0.0883,0.096
XLU,0.1107,0.1455,,0.096,0.136,-0.1839,0.0174,0.0231,0.1333,0.1295
XOM,0.1752,0.1498,,0.084,0.128,-0.1873,0.0192,0.027,0.1796,0.1703
^FTSE,0.075,0.0887,,0.081,0.117,-0.083,0.0108,0.0147,0.091,0.0841
XLRE,0.1522,0.1745,,0.029,0.046,-0.1674,0.0184,0.0236,-0.0408,0.0943
XLP,0.0957,0.0867,,-0.026,-0.042,-0.1337,0.0108,0.0137,0.0742,0.069
UNH,0.1599,0.2521,,-0.082,-0.106,-0.1999,0.0196,0.0331,-0.0372,0.0928
CVX,0.1667,0.1484,,-0.294,-0.383,-0.1701,0.0215,0.0305,0.1008,0.1012
