ticker,cik,company_name,fiscal_year,period_end,filing_date,revenue,previous_revenue,revenue_growth,net_income,equity,assets,shares_outstanding,net_margin,roe,reported_market_cap,reported_pe,source,retrieved_at,as_of_date
AAPL,,Apple Inc.,2025,2025-12-18,2025-12-18,466822987776.0,401050676783.5052,0.164,128929996800.0,86675039584.60518,,14594180000.0,0.27618998,1.4875101,4905541566464.0,38.591274,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
AMZN,,"Amazon.com, Inc.",2025,2025-12-18,2025-12-18,775680032768.0,648561900307.6924,0.196,135281000448.0,442702374481.1588,,10786313572.0,0.1744,0.30558002,2736595664896.0,20.411102,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
BAC,,Bank of America Corporation,2025,2025-12-18,2025-12-18,113931001856.0,97543665972.60275,0.168,32124999680.0,286855953618.36084,,6992748365.0,0.29524,0.111990005,403691372544.0,13.332563,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
BLK,,"BlackRock, Inc.",2025,2025-12-18,2025-12-18,27299000320.0,20902756753.445633,0.306,6576000000.0,53559213779.0851,,154869259.0,0.24089001,0.122779995,173813792768.0,25.6419,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
CAT,,Caterpillar Inc.,2025,2025-12-18,2025-12-18,74728996864.0,60265320051.61291,0.24,10844000256.0,19033910842.137672,,459674889.0,0.14511,0.56972003,371872366592.0,34.840225,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
CVX,,Chevron Corporation,2025,2025-12-18,2025-12-18,209383997440.0,136406512990.228,0.535,20590999552.0,168350907955.1958,,1961603274.0,0.09834,0.12231,410975502336.0,20.16458,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
GE,,GE Aerospace,2025,2025-12-18,2025-12-18,50638999552.0,41815854295.62345,0.211,8963999744.0,18585171910.149773,,1037562513.0,0.17716,0.48231998,326074761216.0,37.01649,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
GOOGL,,Alphabet Inc.,2025,2025-12-18,2025-12-18,445865984000.0,358990325281.8035,0.242,244118994944.0,501518191601.6106,,5867155790.0,0.54771,0.48676,4274851676160.0,17.54719,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
GS,,"The Goldman Sachs Group, Inc.",2025,2025-12-18,2025-12-18,67569999872.0,47417543769.82456,0.425,19982000128.0,118222696296.2963,,291171408.0,0.31039,0.16902,274283446272.0,14.555006,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
HD,,"The Home Depot, Inc.",2025,2025-12-18,2025-12-18,169176006656.0,160052986429.51752,0.057,14227000320.0,13640984969.796057,,997689626.0,0.0841,1.0429599,299286921216.0,21.007004,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
JEF,,Jefferies Financial Group Inc.,2025,2025-12-18,2025-12-18,8339866112.0,6177678601.481481,0.35,801371008.0,9694785966.61021,,194145000.0,0.107700005,0.08266,9742477312.0,13.379889,Yahoo Finance fallback,2026-09-21T04:39:56+00:00,2025-12-18
