ticker,long_name,sector,industry,currency,exchange,revenue_growth,profit_margins,return_on_equity,total_revenue,net_income_to_common,shares_outstanding,market_cap,trailing_pe,forward_pe,instrument_group,source,retrieved_at,as_of_date,eps_avg_current_year,eps_growth_current_year,eps_analysts_current_year,eps_avg_next_year,eps_growth_next_year,eps_analysts_next_year,eps_avg_current_quarter,eps_growth_current_quarter,eps_analysts_current_quarter,eps_avg_next_quarter,eps_growth_next_quarter,eps_analysts_next_quarter,analyst_buy_ratio,analyst_hold_ratio,analyst_buy_ratio_change_3m,target_current,target_mean,target_high,target_low,target_median,target_upside,next_earnings_date,calendar_earnings_average,calendar_earnings_high,calendar_earnings_low,calendar_revenue_average,calendar_revenue_high,calendar_revenue_low
AAPL,Apple Inc.,Technology,Consumer Electronics,USD,NMS,0.164,0.27618998,1.4875101,466822987776.0,128929996800.0,14594180000.0,4905541566464.0,38.591274,35.05517,us_equity,Yahoo Finance,2026-09-21T08:29:09+00:00,2024-05-20,8.81945,0.1822,39.0,9.58154,0.0864,40.0,1.97754,0.0689,27.0,2.90471,0.0228,21.0,0.5681818181818182,0.29545454545454547,-0.02756286266924557,336.13,328.22205,405.0,215.0,340.0,-0.02352646297563432,2026-10-29,1.98124,2.07,1.93,113624521680.0,117219700000.0,112248100000.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USD,NMS,0.196,0.1744,0.30558002,775680032768.0,135281000448.0,10786313572.0,2736595664896.0,20.411102,24.453907,us_equity,Yahoo Finance,2026-09-21T08:29:10+00:00,2024-05-20,12.88185,0.79660004,48.0,10.46864,-0.1873,52.0,1.94636,-0.0019,43.0,2.43787,0.2502,41.0,0.9666666666666667,0.03333333333333333,0.027272727272727226,253.71,328.2244,405.0,230.0,326.0,0.2936991052776792,2026-10-29,1.94092,2.23,1.72,202162138000.0,207675000000.0,199369000000.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,USD,NYQ,0.168,0.29524,0.111990005,113931001856.0,32124999680.0,6992748365.0,403691372544.0,13.332563,10.909805,us_equity,Yahoo Finance,2026-09-21T08:29:10+00:00,2024-05-20,4.66415,0.2242,19.0,5.27867,0.1318,19.0,1.18085,0.11399999,16.0,1.15708,0.1807,16.0,0.8333333333333334,0.16666666666666666,-0.04166666666666663,57.73,68.85714,76.0,62.0,68.0,0.19274450025983025,2026-10-14,1.18379,1.25,1.12,31236505450.0,32051000000.0,30766000000.0
BLK,"BlackRock, Inc.",Financial Services,Asset Management,USD,NYQ,0.306,0.24089001,0.122779995,27299000320.0,6576000000.0,154869259.0,173813792768.0,25.6419,16.634682,us_equity,Yahoo Finance,2026-09-21T08:29:11+00:00,2024-05-20,56.28595,0.17040001,17.0,64.31022,0.1426,17.0,14.26831,0.2354,13.0,15.43009,0.1725,11.0,0.9411764705882353,0.058823529411764705,0.11764705882352944,1069.78,1323.3125,1488.0,1190.0,1310.0,0.23699498962403487,2026-10-14,14.26831,14.95,13.5882,7559255260.0,7631403580.0,7410000000.0
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,USD,NYQ,0.24,0.14511,0.56972003,74728996864.0,10844000256.0,459674889.0,371872366592.0,34.840225,24.986303,us_equity,Yahoo Finance,2026-09-21T08:29:11+00:00,2024-05-20,27.18657,0.4264,27.0,32.37734,0.1909,27.0,6.91717,0.39740002,21.0,6.91633,0.3404,21.0,0.5,0.42857142857142855,-0.0357142857142857,808.99,975.60614,1225.0,575.0,980.5,0.20595574728983057,2026-10-29,6.91717,7.95814,6.23,20399015010.0,21042680160.0,19956000000.0
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USD,NYQ,0.535,0.09834,0.12231,209383997440.0,20590999552.0,1961603274.0,410975502336.0,20.16458,15.447548,us_equity,Yahoo Finance,2026-09-21T08:29:12+00:00,2024-05-20,16.20563,1.223,23.0,13.56267,-0.16309999,24.0,4.7658,1.5761,17.0,4.13357,1.7195,17.0,0.8,0.16,0.050000000000000044,209.51,222.66667,245.0,175.0,224.5,0.06279733664264242,2026-10-30,4.7658,5.7,3.61,57148828390.0,63986000000.0,48408882110.0
GE,GE Aerospace,Industrials,Aerospace & Defense,USD,NYQ,0.211,0.17716,0.48231998,50638999552.0,8963999744.0,1037562513.0,326074761216.0,37.01649,34.57791,us_equity,Yahoo Finance,2026-09-21T08:29:12+00:00,2024-05-20,7.9145,0.2425,22.0,9.68876,0.13520001,12.0,1.98724,0.19709998,17.0,2.27468,-0.0153,9.0,0.8181818181818182,0.13636363636363635,-0.045454545454545414,314.27,401.0,455.0,347.0,400.0,0.2759728895535687,2026-10-20,1.98724,2.09,1.89883,12826340350.0,13116636610.0,12554000000.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USD,NMS,0.242,0.54771,0.48676,445865984000.0,244118994944.0,5867155790.0,4274851676160.0,17.54719,23.48764,us_equity,Yahoo Finance,2026-09-21T08:29:13+00:00,2024-05-20,20.62484,0.90790004,53.0,14.90606,-0.2773,53.0,3.01896,0.0519,42.0,3.34037,0.18450001,39.0,0.9180327868852459,0.08196721311475409,0.02740778688524592,349.54,428.15927,515.0,340.0,429.0,0.22492209761400694,2026-10-28,3.01854,3.68,2.64,127298017980.0,134908000000.0,123409000000.0
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,USD,NYQ,0.425,0.31039,0.16902,67569999872.0,19982000128.0,291171408.0,274283446272.0,14.555006,12.724152,us_equity,Yahoo Finance,2026-09-21T08:29:13+00:00,2024-05-20,70.49354,0.3736,22.0,74.15497,0.0519,22.0,16.1299,0.3167,18.0,15.62044,0.1149,18.0,0.28,0.64,0.0,942.0,1141.65,1325.0,730.0,1150.0,0.2119426751592357,2026-10-13,16.41243,18.98,12.69,17738494740.0,19114685000.0,15587000000.0
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USD,NYQ,0.057,0.0841,1.0429599,169176006656.0,14227000320.0,997689626.0,299286921216.0,21.007004,18.719736,us_equity,Yahoo Finance,2026-09-21T08:29:14+00:00,2024-05-20,15.02198,0.0226,34.0,16.0248,0.0668,34.0,3.8402,0.026800001,30.0,2.83477,0.0422,30.0,0.5833333333333334,0.4166666666666667,0.0,299.98,377.1875,425.0,310.0,379.0,0.2573754916994466,2026-11-17,3.8402,3.98009,3.71,42758365920.0,43691000000.0,42106779000.0
JEF,Jefferies Financial Group Inc.,Financial Services,Capital Markets,USD,NYQ,0.35,0.107700005,0.08266,8339866112.0,801371008.0,194145000.0,9742477312.0,13.379889,10.75561,us_equity,Yahoo Finance,2026-09-21T08:29:15+00:00,2024-05-20,3.63986,,4.0,4.45349,0.2235,4.0,0.99995,-0.01,3.0,0.91014,-0.0519,3.0,0.3333333333333333,0.6666666666666666,0.0,47.9,59.5,76.0,46.0,59.0,0.24217118997912324,2026-09-28,0.99995,1.06,0.88986,2196340050.0,2239095000.0,2091865210.0
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,USD,NYQ,0.304,0.34921002,0.17789,186328006656.0,63634001920.0,2658186195.0,929488044032.0,14.994426,13.993524,us_equity,Yahoo Finance,2026-09-21T08:29:15+00:00,2024-05-20,24.16198,0.22459999,11.0,24.98799,0.0342,13.0,5.88435,0.16059999,9.0,5.94922,0.2849,9.0,0.5416666666666666,0.4166666666666667,0.04166666666666663,349.67,375.38095,436.0,305.0,372.0,0.07352918465982206,2026-10-13,5.88435,6.26,5.71,50698062750.0,52606883000.0,49360000000.0
LAZ,"Lazard, Inc.",Financial Services,Capital Markets,USD,NYQ,0.001,0.0709,0.25665,3199311104.0,219028000.0,97450572.0,3483858176.0,17.610838,9.290323,us_equity,Yahoo Finance,2026-09-21T08:29:16+00:00,2024-05-20,2.22988,-0.0861,10.0,3.84809,0.7257,10.0,0.60711,0.0841,9.0,1.09584,0.3698,8.0,0.4,0.4,,35.75,47.375,60.0,42.0,44.5,0.3251748251748252,2026-10-22,0.60711,0.7,0.38,840780300.0,878574000.0,808000000.0
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,USD,NMS,0.28,0.29834998,0.29848,228246994944.0,68097998848.0,2205128509.0,1696002211840.0,25.06589,19.043377,us_equity,Yahoo Finance,2026-09-21T08:29:16+00:00,2024-05-20,31.3392,0.3342,53.0,33.87112,0.0808,51.0,6.53036,5.2194,42.0,8.22329,-0.074,41.0,0.9032258064516129,0.0967741935483871,-0.001536098310291889,665.75,755.2807,1000.0,580.0,750.0,0.13448096132181764,2026-10-28,6.97333,7.64,6.31,63310311800.0,65278000000.0,61702000000.0
MS,Morgan Stanley,Financial Services,Capital Markets,USD,NYQ,0.28,0.25897,0.17969999,77827997696.0,19547000832.0,1570566292.0,318165319680.0,16.36349,14.849326,us_equity,Yahoo Finance,2026-09-21T08:29:17+00:00,2024-05-20,12.97779,0.2711,21.0,13.68021,0.0541,21.0,3.15744,0.1277,14.0,2.94482,0.0988,14.0,0.44,0.52,0.03999999999999998,202.58,236.42857,262.0,184.0,243.0,0.16708742225293705,2026-10-14,3.11196,3.56,2.90154,20837270980.0,21809000000.0,20313000000.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USD,NMS,0.177,0.40305,0.34039003,331839012864.0,133748998144.0,7425545491.0,3666585845760.0,27.47802,20.929373,us_equity,Yahoo Finance,2026-09-21T08:29:17+00:00,2024-05-20,19.75972,0.1435,33.0,23.59268,0.19399999,33.0,4.72455,0.144,25.0,4.82158,0.16459998,25.0,0.9454545454545454,0.05454545454545454,-0.00191387559808609,493.78,572.91516,870.0,400.0,555.0,0.1602640042124024,2026-10-28,4.72455,4.83363,4.43,90659206720.0,92655000000.0,89640000000.0
